frame_index,count,mask_occupancy,count_delta,status,events
0,0,0.0,0,ALERT,EMPTY_SCENE
1,0,0.0,0,ALERT,EMPTY_SCENE
2,0,0.0,0,ALERT,EMPTY_SCENE
3,0,0.0,0,ALERT,EMPTY_SCENE
4,0,0.0,0,ALERT,EMPTY_SCENE
5,0,0.0,0,ALERT,EMPTY_SCENE
6,0,0.0,0,ALERT,EMPTY_SCENE
7,0,0.0,0,ALERT,EMPTY_SCENE
8,0,0.0,0,ALERT,EMPTY_SCENE
9,0,0.0,0,ALERT,EMPTY_SCENE
10,0,0.0,0,ALERT,EMPTY_SCENE
11,0,0.0,0,ALERT,EMPTY_SCENE
12,0,0.0,0,ALERT,EMPTY_SCENE
13,0,0.0,0,ALERT,EMPTY_SCENE
14,1,0.003296440972222225,1,NORMAL,
15,1,0.00397135416666667,0,NORMAL,
16,1,0.004748263888888894,0,NORMAL,
17,1,0.005657552083333336,0,NORMAL,
18,2,0.009620225694444439,1,NORMAL,
19,3,0.015091145833333337,1,NORMAL,
20,2,0.013951822916666651,-1,NORMAL,
21,2,0.01762369791666668,0,NORMAL,
22,2,0.022241753472222195,0,NORMAL,
23,2,0.02778211805555556,0,NORMAL,
24,3,0.03233940972222217,1,NORMAL,
25,3,0.03725694444444448,0,NORMAL,
26,3,0.04215277777777771,0,NORMAL,
27,3,0.045201822916666634,0,NORMAL,
28,3,0.04641059027777757,0,NORMAL,
29,3,0.05008463541666665,0,NORMAL,
30,3,0.0532595486111109,0,NORMAL,
31,3,0.058036024305555385,0,NORMAL,
32,3,0.06303168402777776,0,NORMAL,
33,3,0.06862413194444426,0,NORMAL,
34,3,0.07048177083333362,0,NORMAL,
35,4,0.07396050347222245,1,NORMAL,
36,4,0.07682074652777796,0,NORMAL,
37,4,0.07927300347222242,0,NORMAL,
38,5,0.08523220486111126,1,NORMAL,
39,4,0.08308376736111103,-1,NORMAL,
40,3,0.08950737847222219,-1,NORMAL,
41,5,0.12592013888888892,2,NORMAL,
42,4,0.10619791666666639,-1,NORMAL,
43,5,0.14687499999999987,1,NORMAL,
44,5,0.17765624999999952,0,NORMAL,
45,5,0.11504340277777769,0,NORMAL,
46,5,0.1569791666666663,0,NORMAL,
47,5,0.12184461805555497,0,NORMAL,
48,5,0.12063585069444466,0,NORMAL,
49,4,0.11580512152777794,-1,NORMAL,
50,4,0.11335286458333364,0,NORMAL,
51,4,0.11667100694444446,0,NORMAL,
52,4,0.11494574652777759,0,NORMAL,
53,4,0.11808593749999993,0,NORMAL,
54,4,0.10411024305555547,0,NORMAL,
55,4,0.11526692708333314,0,NORMAL,
56,4,0.1130989583333335,0,NORMAL,
57,5,0.11659071180555522,1,NORMAL,
58,6,0.1133680555555563,1,NORMAL,
59,5,0.10283637152777778,-1,NORMAL,
60,5,0.11298611111111133,0,NORMAL,
61,4,0.10644097222222203,-1,NORMAL,
62,4,0.10724609375,0,NORMAL,
63,5,0.13531684027777774,1,NORMAL,
64,4,0.11528645833333351,-1,NORMAL,
65,5,0.11179036458333383,1,NORMAL,
66,6,0.15315538194444422,1,NORMAL,
67,7,0.19705729166666666,1,ALERT,HIGH_OCCUPANCY
68,3,0.12206380208333306,-4,ALERT,SUDDEN_COUNT_DECREASE
69,6,0.20177083333333362,3,ALERT,HIGH_OCCUPANCY
70,4,0.14434895833333355,-2,NORMAL,
71,4,0.14052300347222202,0,NORMAL,
72,5,0.21052734374999954,1,ALERT,HIGH_OCCUPANCY
73,5,0.17434678819444466,0,NORMAL,
74,5,0.17965711805555562,0,NORMAL,
75,5,0.1898849826388887,0,ALERT,HIGH_OCCUPANCY
76,6,0.2201258680555554,1,ALERT,HIGH_OCCUPANCY
77,8,0.3113693576388885,2,ALERT,HIGH_OCCUPANCY
78,9,0.22472439236111083,1,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
79,7,0.1835568576388886,-2,ALERT,HIGH_OCCUPANCY
80,6,0.19048394097222246,-1,ALERT,HIGH_OCCUPANCY
81,4,0.13343967013888938,-2,NORMAL,
82,8,0.22883246527777767,4,ALERT,HIGH_OCCUPANCY;SUDDEN_COUNT_INCREASE
83,6,0.17318576388888907,-2,NORMAL,
84,8,0.23713541666666674,2,ALERT,HIGH_OCCUPANCY
85,7,0.20648871527777754,-1,ALERT,HIGH_OCCUPANCY
86,8,0.22379557291666582,1,ALERT,HIGH_OCCUPANCY
87,6,0.16966579861111075,-2,NORMAL,
88,6,0.1600238715277772,0,NORMAL,
89,7,0.16634982638888865,1,NORMAL,
90,7,0.20656684027777766,0,ALERT,HIGH_OCCUPANCY
91,8,0.22892578125000057,1,ALERT,HIGH_OCCUPANCY
92,6,0.17640624999999993,-2,NORMAL,
93,9,0.24018880208333315,3,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
94,7,0.17870225694444422,-2,NORMAL,
95,7,0.17281032986111106,0,NORMAL,
96,6,0.1616861979166669,-1,NORMAL,
97,5,0.1439301215277778,-1,NORMAL,
98,5,0.15265190972222176,0,NORMAL,
99,6,0.15559027777777767,1,NORMAL,
